1:Buildings, Structures and Places
2:Clothing
3:Electronics
4:Food and Drinks
5:In the Kitchen
6:Musical Instruments
7:Other
8:Sports and Sport Equipment
9:Vehicles and Machinery
10:Wildlife
11:Uploaded Images
